lad19cd,lad19nm,Age.16+..Respondents, Age.16+..Inactive , Age.16+..Fairly.Active , Age.16..Active ,Male.Respondents, Male.Inactive , Male.Fairly.Active , Male.Active ,Female.Respondents, Female.Inactive , Female.Fairly.Active , Female.Active ,Total.Inactive.breaks,Total.Fairly.Active.breaks,Total.Active.breaks,Male.Inactive.breaks,Male.Fairly.Active.breaks,Male.Active.breaks,Female.Inactive.breaks,Female.Fairly.Active.breaks,Female.Active.breaks
E07000139,North Kesteven,523, 0.26 , 0.11 , 0.63 ,221, 0.22 , -   , 0.65 ,300, 0.29 , 0.09 , 0.62 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,0-10%,60-70%
E06000013,North Lincolnshire,460, 0.28 , 0.13 , 0.59 ,200, 0.29 , -   , 0.61 ,259, 0.27 , 0.16 , 0.57 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000147,North Norfolk,524, 0.23 , 0.12 , 0.65 ,228, 0.23 , -   , 0.67 ,295, 0.24 , 0.14 , 0.62 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E06000024,North Somerset,479, 0.24 , 0.13 , 0.63 ,205, 0.25 , -   , 0.63 ,271, 0.23 , 0.14 , 0.64 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E08000022,North Tyneside,479, 0.31 , 0.11 , 0.58 ,221, 0.31 , -   , 0.60 ,257, 0.31 , 0.14 , 0.56 ,30-40%,10-20%,50-60%,30-40%,NA,60-70%,30-40%,10-20%,50-60%
E07000218,North Warwickshire,495, 0.30 , 0.10 , 0.60 ,207, 0.25 , -   , 0.66 ,287, 0.34 , 0.11 , 0.55 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E07000134,North West Leicestershire,472, 0.25 , 0.13 , 0.62 ,206, 0.19 , -   , 0.67 ,265, 0.30 , 0.13 , 0.57 ,20-30%,10-20%,60-70%,10-20%,NA,60-70%,30-40%,10-20%,50-60%
E07000154,Northampton,515, 0.27 , 0.16 , 0.57 ,232, 0.28 , 0.11 , 0.61 ,280, 0.25 , 0.21 , 0.54 ,20-30%,10-20%,50-60%,20-30%,10-20%,60-70%,20-30%,20-30%,50-60%
E06000057,Northumberland,513, 0.21 , 0.11 , 0.68 ,225, 0.18 , -   , 0.72 ,287, 0.23 , 0.12 , 0.65 ,20-30%,10-20%,60-70%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E07000148,Norwich,679, 0.18 , 0.17 , 0.65 ,313, 0.18 , 0.18 , 0.64 ,365, 0.17 , 0.16 , 0.67 ,10-20%,10-20%,60-70%,10-20%,10-20%,60-70%,10-20%,10-20%,60-70%
E06000018,Nottingham,1953, 0.25 , 0.12 , 0.63 ,860, 0.23 , 0.09 , 0.67 ,1086, 0.26 , 0.14 , 0.59 ,20-30%,10-20%,60-70%,20-30%,0-10%,60-70%,20-30%,10-20%,50-60%
E07000219,Nuneaton and Bedworth,484, 0.29 , 0.16 , 0.55 ,204, 0.27 , -   , 0.60 ,278, 0.31 , 0.19 , 0.50 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E07000135,Oadby and Wigston,467, 0.30 , 0.11 , 0.59 ,225, 0.28 , -   , 0.64 ,242, 0.32 , 0.15 , 0.54 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E08000004,Oldham,951, 0.32 , 0.12 , 0.56 ,398, 0.30 , 0.11 , 0.58 ,551, 0.34 , 0.12 , 0.54 ,30-40%,10-20%,50-60%,30-40%,10-20%,50-60%,30-40%,10-20%,50-60%
E07000178,Oxford,721, 0.15 , 0.12 , 0.72 ,298, 0.14 , 0.12 , 0.74 ,420, 0.16 , 0.12 , 0.71 ,10-20%,10-20%,70-80%,10-20%,10-20%,70-80%,10-20%,10-20%,70-80%
E07000122,Pendle,469, 0.33 , 0.11 , 0.56 ,217, 0.36 , -   , 0.55 ,251, 0.31 , 0.13 , 0.56 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,10-20%,50-60%
E06000031,Peterborough,495, 0.26 , 0.09 , 0.65 ,204, 0.22 , -   , 0.68 ,289, 0.30 , -   , 0.62 ,20-30%,0-10%,60-70%,20-30%,NA,60-70%,20-30%,NA,60-70%
E06000026,Plymouth,514, 0.24 , 0.14 , 0.62 ,213, 0.24 , 0.19 , 0.57 ,300, 0.24 , 0.10 , 0.67 ,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%,20-30%,0-10%,60-70%
E06000044,Portsmouth,536, 0.21 , 0.11 , 0.68 ,211, 0.16 , -   , 0.75 ,324, 0.24 , 0.13 , 0.63 ,20-30%,10-20%,60-70%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E07000123,Preston,531, 0.28 , 0.13 , 0.59 ,225, 0.30 , -   , 0.59 ,306, 0.25 , 0.15 , 0.60 ,20-30%,10-20%,50-60%,30-40%,NA,50-60%,20-30%,10-20%,50-60%
E06000038,Reading,513, 0.22 , 0.10 , 0.68 ,234, 0.18 , -   , 0.70 ,279, 0.26 , 0.08 , 0.66 ,20-30%,10-20%,60-70%,10-20%,NA,60-70%,20-30%,0-10%,60-70%
E09000026,Redbridge,389, 0.29 , 0.14 , 0.58 ,171, 0.23 , -   , 0.66 ,216, 0.34 , 0.16 , 0.51 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E06000003,Redcar and Cleveland,485, 0.26 , 0.10 , 0.64 ,207, 0.21 , -   , 0.68 ,278, 0.30 , 0.10 , 0.60 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000236,Redditch,543, 0.27 , 0.13 , 0.60 ,226, 0.26 , -   , 0.60 ,317, 0.28 , 0.13 , 0.59 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000211,Reigate and Banstead,458, 0.20 , 0.11 , 0.70 ,211, 0.18 , -   , 0.72 ,246, 0.22 , -   , 0.68 ,10-20%,10-20%,60-70%,10-20%,NA,70-80%,20-30%,NA,60-70%
E07000124,Ribble Valley,446, 0.23 , 0.11 , 0.66 ,195, 0.18 , -   , 0.71 ,248, 0.26 , -   , 0.63 ,20-30%,10-20%,60-70%,10-20%,NA,70-80%,20-30%,NA,60-70%
E09000027,Richmond upon Thames,535, 0.16 , 0.11 , 0.74 ,247, 0.13 , -   , 0.78 ,286, 0.18 , 0.13 , 0.70 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,10-20%,10-20%,60-70%
E07000166,Richmondshire,455, 0.17 , 0.10 , 0.73 ,198, 0.15 , -   , 0.77 ,255, 0.19 , -   , 0.69 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,10-20%,NA,60-70%
E08000005,Rochdale,903, 0.33 , 0.10 , 0.57 ,394, 0.31 , 0.09 , 0.60 ,505, 0.35 , 0.11 , 0.54 ,30-40%,10-20%,50-60%,30-40%,0-10%,60-70%,30-40%,10-20%,50-60%
E07000075,Rochford,491, 0.22 , 0.13 , 0.66 ,214, 0.23 , -   , 0.65 ,274, 0.20 , 0.14 , 0.66 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000125,Rossendale,505, 0.27 , 0.10 , 0.63 ,227, 0.27 , -   , 0.64 ,276, 0.28 , 0.10 , 0.61 ,20-30%,0-10%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000064,Rother,482, 0.28 , 0.16 , 0.56 ,213, 0.25 , -   , 0.59 ,269, 0.31 , 0.15 , 0.54 ,20-30%,10-20%,50-60%,20-30%,NA,50-60%,30-40%,10-20%,50-60%
E08000018,Rotherham,495, 0.36 , 0.12 , 0.51 ,210, 0.34 , -   , 0.57 ,284, 0.38 , 0.14 , 0.47 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,10-20%,40-50%
E07000220,Rugby,528, 0.28 , 0.14 , 0.58 ,238, 0.27 , -   , 0.64 ,290, 0.30 , 0.18 , 0.52 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000212,Runnymede,496, 0.22 , 0.11 , 0.67 ,216, 0.22 , -   , 0.71 ,277, 0.21 , 0.14 , 0.65 ,20-30%,10-20%,60-70%,20-30%,NA,70-80%,20-30%,10-20%,60-70%
E07000176,Rushcliffe,526, 0.22 , 0.12 , 0.66 ,240, 0.24 , -   , 0.69 ,285, 0.20 , 0.16 , 0.64 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,10-20%,10-20%,60-70%
E07000092,Rushmoor,539, 0.29 , 0.12 , 0.59 ,230, 0.24 , -   , 0.67 ,309, 0.33 , 0.16 , 0.51 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E06000017,Rutland,496, 0.21 , 0.14 , 0.65 ,218, 0.19 , -   , 0.69 ,275, 0.23 , 0.16 , 0.61 ,20-30%,10-20%,60-70%,10-20%,NA,60-70%,20-30%,10-20%,60-70%
E07000167,Ryedale,489, 0.26 , 0.14 , 0.60 ,224, 0.22 , -   , 0.67 ,265, 0.30 , 0.17 , 0.53 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E08000006,Salford,1023, 0.24 , 0.14 , 0.61 ,479, 0.21 , 0.14 , 0.65 ,538, 0.28 , 0.15 , 0.58 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E08000028,Sandwell,452, 0.34 , 0.15 , 0.51 ,187, 0.30 , -   , 0.55 ,265, 0.37 , 0.15 , 0.48 ,30-40%,10-20%,50-60%,20-30%,NA,50-60%,30-40%,10-20%,40-50%
E07000168,Scarborough,481, 0.25 , 0.11 , 0.64 ,221, 0.19 , -   , 0.67 ,258, 0.31 , 0.09 , 0.60 ,20-30%,10-20%,60-70%,10-20%,NA,60-70%,30-40%,0-10%,60-70%
E07000188,Sedgemoor,519, 0.27 , 0.13 , 0.61 ,222, 0.25 , -   , 0.66 ,294, 0.29 , 0.15 , 0.56 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E08000014,Sefton,559, 0.25 , 0.13 , 0.62 ,251, 0.24 , -   , 0.66 ,307, 0.25 , 0.17 , 0.58 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000169,Selby,513, 0.29 , 0.08 , 0.63 ,234, 0.28 , -   , 0.66 ,278, 0.31 , 0.09 , 0.61 ,20-30%,0-10%,60-70%,20-30%,NA,60-70%,30-40%,0-10%,60-70%
E07000111,Sevenoaks,567, 0.21 , 0.12 , 0.67 ,256, 0.21 , 0.13 , 0.66 ,309, 0.21 , 0.11 , 0.68 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E08000019,Sheffield,2047, 0.24 , 0.11 , 0.65 ,885, 0.23 , 0.07 , 0.69 ,1153, 0.24 , 0.14 , 0.62 ,20-30%,10-20%,60-70%,20-30%,0-10%,60-70%,20-30%,10-20%,60-70%
E07000112,Folkestone and Hythe,495, 0.24 , 0.11 , 0.64 ,223, 0.23 , 0.11 , 0.66 ,272, 0.26 , 0.12 , 0.62 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E06000051,Shropshire,556, 0.24 , 0.16 , 0.60 ,250, 0.23 , 0.14 , 0.63 ,306, 0.25 , 0.18 , 0.57 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E06000039,Slough,463, 0.33 , 0.12 , 0.55 ,207, 0.32 , -   , 0.57 ,255, 0.33 , 0.14 , 0.54 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,10-20%,50-60%
E08000029,Solihull,412, 0.29 , 0.10 , 0.61 ,186, 0.28 , -   , 0.61 ,226, 0.29 , -   , 0.61 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,NA,60-70%
E07000006,South Bucks,450, 0.20 , 0.14 , 0.66 ,203, 0.17 , -   , 0.71 ,245, 0.23 , 0.15 , 0.61 ,20-30%,10-20%,60-70%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E07000012,South Cambridgeshire,503, 0.19 , 0.12 , 0.69 ,219, 0.20 , 0.15 , 0.65 ,282, 0.19 , -   , 0.73 ,10-20%,10-20%,60-70%,20-30%,10-20%,60-70%,10-20%,NA,70-80%
E07000039,South Derbyshire,522, 0.27 , 0.14 , 0.60 ,250, 0.30 , -   , 0.57 ,270, 0.22 , 0.15 , 0.63 ,20-30%,10-20%,50-60%,30-40%,NA,50-60%,20-30%,10-20%,60-70%
E06000025,South Gloucestershire,516, 0.21 , 0.13 , 0.65 ,231, 0.23 , -   , 0.66 ,284, 0.19 , 0.16 , 0.65 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,10-20%,10-20%,60-70%
E07000044,South Hams,552, 0.16 , 0.11 , 0.73 ,238, 0.15 , -   , 0.81 ,314, 0.18 , 0.17 , 0.65 ,10-20%,10-20%,70-80%,10-20%,NA,80-90%,10-20%,10-20%,60-70%
E07000140,South Holland,463, 0.34 , 0.13 , 0.53 ,197, 0.36 , -   , 0.55 ,264, 0.32 , 0.17 , 0.51 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,10-20%,50-60%
E07000141,South Kesteven,442, 0.27 , 0.12 , 0.61 ,200, 0.26 , -   , 0.61 ,242, 0.28 , -   , 0.61 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,NA,60-70%
E07000031,South Lakeland,501, 0.21 , 0.09 , 0.70 ,222, 0.19 , -   , 0.73 ,275, 0.23 , 0.11 , 0.66 ,20-30%,0-10%,60-70%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E07000149,South Norfolk,465, 0.24 , 0.13 , 0.64 ,215, 0.20 , -   , 0.68 ,250, 0.28 , 0.14 , 0.58 ,20-30%,10-20%,60-70%,10-20%,NA,60-70%,20-30%,10-20%,50-60%
E07000155,South Northamptonshire,476, 0.27 , 0.10 , 0.63 ,208, 0.31 , -   , 0.62 ,265, 0.23 , 0.13 , 0.65 ,20-30%,10-20%,60-70%,30-40%,NA,60-70%,20-30%,10-20%,60-70%
E07000179,South Oxfordshire,520, 0.19 , 0.12 , 0.68 ,240, 0.15 , 0.12 , 0.73 ,279, 0.24 , -   , 0.64 ,10-20%,10-20%,60-70%,10-20%,10-20%,70-80%,20-30%,NA,60-70%
E07000126,South Ribble,503, 0.27 , 0.14 , 0.59 ,235, 0.24 , -   , 0.64 ,268, 0.30 , 0.16 , 0.54 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E07000189,South Somerset,475, 0.24 , 0.13 , 0.62 ,205, 0.25 , -   , 0.63 ,270, 0.24 , 0.14 , 0.62 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000196,South Staffordshire,614, 0.26 , 0.13 , 0.60 ,275, 0.24 , 0.14 , 0.62 ,338, 0.29 , 0.12 , 0.59 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E08000023,South Tyneside,452, 0.29 , 0.10 , 0.61 ,195, 0.24 , -   , 0.68 ,257, 0.34 , -   , 0.55 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,30-40%,NA,50-60%
E06000045,Southampton,450, 0.23 , 0.15 , 0.63 ,205, 0.22 , -   , 0.65 ,240, 0.22 , 0.16 , 0.62 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E06000033,Southend-on-Sea,557, 0.31 , 0.13 , 0.56 ,249, 0.28 , -   , 0.60 ,306, 0.34 , 0.13 , 0.54 ,30-40%,10-20%,50-60%,20-30%,NA,50-60%,30-40%,10-20%,50-60%
E09000028,Southwark,554, 0.20 , 0.09 , 0.71 ,246, 0.19 , -   , 0.76 ,306, 0.20 , 0.13 , 0.67 ,10-20%,0-10%,70-80%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E07000213,Spelthorne,475, 0.27 , 0.12 , 0.61 ,225, 0.26 , 0.16 , 0.58 ,248, 0.26 , -   , 0.67 ,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%,20-30%,NA,60-70%
E07000240,St Albans,480, 0.22 , 0.11 , 0.67 ,210, 0.19 , -   , 0.73 ,269, 0.25 , 0.14 , 0.60 ,20-30%,10-20%,60-70%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E08000013,St. Helens,526, 0.24 , 0.13 , 0.63 ,249, 0.23 , 0.10 , 0.67 ,277, 0.24 , 0.15 , 0.60 ,20-30%,10-20%,60-70%,20-30%,0-10%,60-70%,20-30%,10-20%,60-70%
E07000197,Stafford,540, 0.26 , 0.14 , 0.60 ,237, 0.22 , 0.13 , 0.65 ,299, 0.28 , 0.15 , 0.57 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E07000198,Staffordshire Moorlands,503, 0.28 , 0.12 , 0.60 ,221, 0.27 , 0.12 , 0.61 ,279, 0.28 , 0.13 , 0.59 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E07000243,Stevenage,453, 0.26 , 0.11 , 0.63 ,201, 0.29 , -   , 0.66 ,249, 0.23 , 0.16 , 0.60 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E08000007,Stockport,984, 0.23 , 0.10 , 0.67 ,434, 0.23 , 0.09 , 0.69 ,548, 0.22 , 0.12 , 0.66 ,20-30%,10-20%,60-70%,20-30%,0-10%,60-70%,20-30%,10-20%,60-70%
E06000004,Stockton-on-Tees,478, 0.32 , 0.12 , 0.56 ,214, 0.31 , -   , 0.55 ,264, 0.34 , -   , 0.56 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,NA,50-60%
E06000021,Stoke-on-Trent,517, 0.34 , 0.13 , 0.53 ,250, 0.38 , -   , 0.51 ,265, 0.28 , 0.16 , 0.56 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,20-30%,10-20%,50-60%
E07000221,Stratford-on-Avon,524, 0.23 , 0.11 , 0.67 ,238, 0.22 , -   , 0.69 ,285, 0.24 , 0.11 , 0.65 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000082,Stroud,499, 0.16 , 0.10 , 0.74 ,238, 0.16 , -   , 0.75 ,260, 0.17 , -   , 0.72 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,10-20%,NA,70-80%
E08000024,Sunderland,479, 0.29 , 0.15 , 0.55 ,229, 0.31 , 0.17 , 0.52 ,250, 0.28 , 0.13 , 0.59 ,20-30%,10-20%,50-60%,30-40%,10-20%,50-60%,20-30%,10-20%,50-60%
E07000214,Surrey Heath,464, 0.21 , 0.13 , 0.66 ,211, 0.18 , 0.15 , 0.67 ,253, 0.24 , 0.12 , 0.65 ,20-30%,10-20%,60-70%,10-20%,10-20%,60-70%,20-30%,10-20%,60-70%
E09000029,Sutton,482, 0.28 , 0.15 , 0.56 ,200, 0.31 , -   , 0.57 ,280, 0.25 , 0.19 , 0.56 ,20-30%,10-20%,50-60%,30-40%,NA,50-60%,20-30%,10-20%,50-60%
E07000113,Swale,525, 0.28 , 0.11 , 0.61 ,226, 0.25 , 0.12 , 0.63 ,299, 0.31 , 0.10 , 0.59 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,30-40%,0-10%,50-60%
E06000030,Swindon,552, 0.22 , 0.13 , 0.65 ,249, 0.22 , 0.14 , 0.64 ,301, 0.23 , 0.12 , 0.66 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E08000008,Tameside,907, 0.26 , 0.12 , 0.61 ,417, 0.24 , 0.11 , 0.65 ,486, 0.29 , 0.14 , 0.57 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E07000199,Tamworth,492, 0.29 , 0.12 , 0.59 ,216, 0.27 , -   , 0.62 ,276, 0.31 , 0.12 , 0.56 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E07000215,Tandridge,440, 0.21 , 0.12 , 0.67 ,201, 0.20 , -   , 0.71 ,238, 0.22 , 0.16 , 0.62 ,20-30%,10-20%,60-70%,20-30%,NA,70-80%,20-30%,10-20%,60-70%
E07000045,Teignbridge,522, 0.22 , 0.12 , 0.65 ,222, 0.21 , -   , 0.66 ,299, 0.24 , 0.12 , 0.64 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
